1,Rio Branco,20 de Novembro,Sobral,3695,Rua
2,Rio Branco,A,Floresta,6350,Rua
3,Rio Branco,A,Terminal Cadeia Velha,0520,Rua
4,Rio Branco,A,Jardim de Alah,1290,Rua
5,Rio Branco,A,Manoel Juli�o,2680,Rua
6,Rio Branco,A,Jo�o Eduardo,4665,Rua
7,Rio Branco,Abacate,Morada do Sol,0310,Rua
8,Rio Branco,Abelhas,Santa Quit�ria,4370,Rua
9,Rio Branco,Absolon de Almeida,Cer�mica,0430,Travessa
10,Rio Branco,AC040,Vila Acre,2450,Rodovia
